[2026-03-23T18:29:20.046Z] === Scrape started ===
[2026-03-23T18:29:20.049Z] Resuming with 10 already scraped
[2026-03-23T18:29:20.049Z] Fetching page 1 to detect pagination...
[2026-03-23T18:29:20.255Z] Found 22 pages
[2026-03-23T18:29:20.267Z] Listing page 1/22: 20 episodes
[2026-03-23T18:29:28.505Z] Listing page 2/22: 20 episodes
[2026-03-23T18:29:36.783Z] Listing page 3/22: 20 episodes
[2026-03-23T18:29:44.939Z] Listing page 4/22: 20 episodes
[2026-03-23T18:29:53.135Z] Listing page 5/22: 20 episodes
[2026-03-23T18:30:01.410Z] Listing page 6/22: 20 episodes
[2026-03-23T18:30:09.568Z] Listing page 7/22: 20 episodes
[2026-03-23T18:30:17.784Z] Listing page 8/22: 20 episodes
[2026-03-23T18:30:26.062Z] Listing page 9/22: 20 episodes
[2026-03-23T18:30:34.297Z] Listing page 10/22: 20 episodes
[2026-03-23T18:30:42.465Z] Listing page 11/22: 20 episodes
[2026-03-23T18:30:50.733Z] Listing page 12/22: 20 episodes
[2026-03-23T18:30:58.932Z] Listing page 13/22: 20 episodes
[2026-03-23T18:31:07.139Z] Listing page 14/22: 20 episodes
[2026-03-23T18:31:15.378Z] Listing page 15/22: 20 episodes
[2026-03-23T18:31:23.579Z] Listing page 16/22: 20 episodes
[2026-03-23T18:31:31.796Z] Listing page 17/22: 20 episodes
[2026-03-23T18:31:40.068Z] Listing page 18/22: 20 episodes
[2026-03-23T18:31:48.228Z] Listing page 19/22: 20 episodes
[2026-03-23T18:31:56.410Z] Listing page 20/22: 20 episodes
[2026-03-23T18:32:04.651Z] Listing page 21/22: 20 episodes
[2026-03-23T18:32:12.804Z] Listing page 22/22: 15 episodes
[2026-03-23T18:32:12.806Z] Total: 435 episodes, 10 done, 425 remaining
[2026-03-23T18:32:13.050Z] [1/425] OK "Christian von Koenigsegg:  It is impossible to lead by following – therefore I am different." (96 segments)
